,p,x1,x2,condition,block
0,0.9,200,0,Random,1
1,0.4,150,100,Random,1
2,0.05,75,0,Random,1
3,0.5,200,150,Random,1
4,0.95,200,0,Random,1
5,0.95,50,0,Random,1
6,0.1,400,0,Random,1
7,0.75,75,0,Random,1
8,0.4,75,50,Random,1
9,0.1,150,100,Random,1
10,0.01,200,0,Random,1
11,0.9,800,0,Random,1
12,0.05,100,50,Random,1
13,0.1,75,0,Random,1
14,0.01,150,0,Random,1
15,0.95,150,50,Random,1
16,0.4,25,0,Random,1
17,0.6,200,150,Random,1
18,0.1,100,50,Random,1
19,0.75,150,50,Random,1
20,0.99,150,100,Random,1
21,0.9,75,50,Random,1
22,0.25,200,150,Random,1
23,0.4,800,0,Random,1
24,0.6,75,0,Random,1
25,0.6,50,0,Random,1
26,0.05,150,100,Random,1
27,0.6,100,50,Random,1
28,0.9,150,0,Random,1
29,0.25,150,50,Random,1
30,0.6,100,0,Random,1
31,0.95,800,0,Random,1
32,0.01,150,50,Random,1
33,0.05,25,0,Random,2
34,0.4,100,50,Random,2
35,0.9,100,50,Random,2
36,0.5,100,0,Random,2
37,0.99,200,100,Random,2
38,0.5,50,25,Random,2
39,0.4,75,0,Random,2
40,0.25,200,0,Random,2
41,0.5,75,50,Random,2
42,0.25,200,100,Random,2
43,0.5,200,0,Random,2
44,0.5,75,0,Random,2
45,0.75,400,0,Random,2
46,0.6,400,0,Random,2
47,0.9,50,25,Random,2
48,0.9,100,0,Random,2
49,0.4,200,0,Random,2
50,0.1,50,0,Random,2
51,0.99,100,0,Random,2
52,0.01,150,100,Random,2
53,0.25,150,100,Random,2
54,0.6,75,50,Random,2
55,0.9,200,150,Random,2
56,0.9,150,50,Random,2
57,0.5,400,0,Random,2
58,0.99,150,50,Random,2
59,0.4,200,150,Random,2
60,0.99,100,50,Random,2
61,0.25,100,50,Random,2
62,0.5,200,100,Random,2
63,0.05,800,0,Random,2
64,0.95,400,0,Random,2
65,0.05,200,100,Random,2
66,0.5,800,0,Random,3
67,0.05,75,50,Random,3
68,0.75,100,50,Random,3
69,0.01,75,50,Random,3
70,0.1,200,100,Random,3
71,0.5,150,0,Random,3
72,0.25,25,0,Random,3
73,0.25,400,0,Random,3
74,0.01,100,50,Random,3
75,0.75,200,100,Random,3
76,0.99,25,0,Random,3
77,0.4,150,0,Random,3
78,0.25,75,0,Random,3
79,0.99,50,0,Random,3
80,0.75,75,50,Random,3
81,0.4,100,0,Random,3
82,0.99,200,150,Random,3
83,0.5,25,0,Random,3
84,0.95,150,0,Random,3
85,0.99,150,0,Random,3
86,0.05,150,50,Random,3
87,0.6,200,100,Random,3
88,0.01,75,0,Random,3
89,0.05,200,150,Random,3
90,0.1,75,50,Random,3
91,0.4,150,50,Random,3
92,0.75,100,0,Random,3
93,0.6,25,0,Random,3
94,0.9,50,0,Random,3
95,0.75,200,150,Random,3
96,0.01,25,0,Random,3
97,0.1,25,0,Random,3
98,0.25,100,0,Random,3
99,0.4,200,100,Random,4
100,0.99,50,25,Random,4
101,0.75,25,0,Random,4
102,0.9,75,0,Random,4
103,0.6,150,0,Random,4
104,0.1,150,0,Random,4
105,0.99,400,0,Random,4
106,0.01,50,25,Random,4
107,0.99,200,0,Random,4
108,0.75,150,100,Random,4
109,0.1,800,0,Random,4
110,0.1,50,25,Random,4
111,0.25,50,25,Random,4
112,0.25,800,0,Random,4
113,0.25,50,0,Random,4
114,0.5,150,100,Random,4
115,0.5,100,50,Random,4
116,0.9,25,0,Random,4
117,0.01,800,0,Random,4
118,0.95,150,100,Random,4
119,0.05,50,0,Random,4
120,0.9,400,0,Random,4
121,0.05,50,25,Random,4
122,0.6,150,100,Random,4
123,0.95,50,25,Random,4
124,0.25,75,50,Random,4
125,0.05,100,0,Random,4
126,0.1,150,50,Random,4
127,0.05,200,0,Random,4
128,0.95,25,0,Random,4
129,0.01,200,150,Random,4
130,0.1,200,0,Random,4
131,0.4,50,0,Random,4
132,0.75,150,0,Random,5
133,0.95,200,100,Random,5
134,0.99,75,0,Random,5
135,0.95,75,0,Random,5
136,0.9,150,100,Random,5
137,0.99,75,50,Random,5
138,0.4,400,0,Random,5
139,0.01,200,100,Random,5
140,0.6,150,50,Random,5
141,0.1,200,150,Random,5
142,0.1,100,0,Random,5
143,0.05,400,0,Random,5
144,0.5,50,0,Random,5
145,0.01,100,0,Random,5
146,0.95,100,0,Random,5
147,0.75,200,0,Random,5
148,0.75,50,0,Random,5
149,0.05,150,0,Random,5
150,0.99,800,0,Random,5
151,0.01,50,0,Random,5
152,0.25,150,0,Random,5
153,0.95,75,50,Random,5
154,0.5,150,50,Random,5
155,0.95,100,50,Random,5
156,0.6,800,0,Random,5
157,0.6,50,25,Random,5
158,0.9,200,100,Random,5
159,0.75,800,0,Random,5
160,0.6,200,0,Random,5
161,0.01,400,0,Random,5
162,0.4,50,25,Random,5
163,0.75,50,25,Random,5
164,0.95,200,150,Random,5
